Sub,Block,Obj,AE,SR
5,1,148,0.630555556,0.198148148
5,1,103,0.533333333,0.163888889
5,1,11,0.500925926,0.027777778
5,1,49,0.333333333,0.065740741
5,1,144,0.64537037,0.783333333
5,1,110,0.562037037,0.032407407
5,1,53,0.306481481,0.206481481
5,1,60,0.269444444,0.062962963
5,1,123,0.662962963,0.616666667
5,1,35,0.655555556,0.640740741
5,1,14,0.674074074,0.648148148
5,1,90,0.551851852,0.037037037
5,1,125,0.290740741,0.046296296
5,1,38,0.313888889,0.026851852
5,1,36,0.546296296,0.730555556
5,1,100,0.622222222,0.037037037
5,1,117,0.674074074,0.783333333
5,1,141,0.834259259,0.758333333
5,1,61,0.626851852,0.555555556
5,1,143,0.569444444,0.032407407
5,1,120,0.15,0.006481481
5,1,147,0.575925926,0.067592593
5,1,57,0.537037037,0.641666667
5,1,134,0.537037037,0.417592593
5,1,51,0.686111111,0.628703704
5,1,70,0.299074074,0.126851852
5,1,30,0.926851852,0.969444444
5,1,40,0.587962963,0.32962963
5,2,36,0.739814815,0.665740741
5,2,123,0.685185185,0.677777778
5,2,28,0.67037037,0.634259259
5,2,29,0.57962963,0.56851851900000006
5,2,64,0.62962963,0.624074074
5,2,40,0.633333333,0.29537037
5,2,141,0.552777778,0.637962963
5,2,81,0.673148148,0.626851852
5,2,30,0.97037037,0.980555556
5,2,32,0.787962963,0.7
5,2,135,0.909259259,0.912962963
5,2,101,0.586111111,0.173148148
5,2,136,0.325925926,0.069444444
5,2,35,0.547222222,0.555555556
5,2,5,0.586111111,0.318518519
5,2,103,0.236111111,0.040740741
5,2,65,0.108333333,0.022222222
5,2,15,0.662962963,0.717592593
5,2,126,0.958333333,0.905555556
5,2,11,0.057407407,0.025925926
6,1,40,0.191666667,0.42037037
6,1,30,0.812037037,0.269444444
6,1,70,0.168518519,9.25926e-4
6,1,51,0.650925926,0.528703704
6,1,134,0.5,0.539814815
6,1,57,0.183333333,0.100925926
6,1,147,0.112037037,0.015740741
6,1,120,0.607407407,0.717592593
6,1,143,0.25,0.603703704
6,1,61,0.688888889,0.537962963
6,1,141,0.5,0.67037037
6,1,117,0.919444444,1
6,1,100,0.553703704,0.547222222
6,1,36,0.193518519,0.012962963
6,1,38,0.211111111,0.022222222
6,1,125,0.5,0.566666667
6,1,90,0.188888889,0.086111111
6,1,14,0.083333333,0.005555556
6,1,35,0.12037037,9.25926e-4
6,1,123,0.781481481,0.944444444
6,1,60,0.07962963,9.25926e-4
6,1,53,0.257407407,9.25926e-4
6,1,110,0.727777778,9.25926e-4
6,1,144,0.192592593,9.25926e-4
6,1,49,9.25926e-4,9.25926e-4
6,1,11,0.015740741,9.25926e-4
6,1,103,0.074074074,0.002777778
6,1,148,0.159259259,0.131481481
6,1,28,0.310185185,0.775
6,1,114,0.45462963,0.127777778
6,1,50,0.196296296,0.017592593
6,1,124,0.705555556,0.901851852
6,1,12,0.965740741,0.051851852
6,1,31,0.608333333,0.805555556
6,1,46,0.55648148099999994,0.851851852
6,1,107,0.187962963,0.065740741
6,1,85,0.156481481,0.105555556
6,1,109,0.637037037,0.308333333
6,1,83,0.715740741,0.271296296
6,1,91,0.626851852,0.67037037
6,1,88,0.362037037,0.871296296
6,1,130,0.411111111,0.577777778
6,1,133,0.775925926,0.866666667
6,1,136,0.50462963,0.174074074
6,1,64,0.730555556,0.630555556
6,1,138,1,0.886111111
6,1,20,0.67037037,0.671296296
6,1,82,0.15,0.055555556
6,1,86,0.582407407,0.412037037
6,1,111,0.513888889,0.856481481
6,1,145,0.325,0.023148148
6,1,135,0.547222222,0.230555556
6,1,44,0.436111111,0.621296296
6,1,87,0.234259259,0.69537037
6,1,101,0.427777778,0.475925926
6,1,94,0.690740741,0.587962963
6,1,27,0.332407407,9.25926e-4
6,1,73,9.25926e-4,9.25926e-4
6,1,1,0.416666667,0.784259259
6,1,63,0.444444444,0.289814815
6,1,5,0.255555556,0.794444444
6,1,39,0.419444444,0.631481481
6,1,24,0.609259259,0.959259259
6,1,140,0.20462963,0.075
6,1,45,0.585185185,0.559259259
6,1,2,9.25926e-4,0.001851852
6,1,142,9.25926e-4,9.25926e-4
6,1,59,0.525,0.858333333
6,1,33,0.3,0.687037037
6,1,32,0.062037037,9.25926e-4
6,1,105,0.19537037,0.710185185
6,1,34,9.25926e-4,0.266666667
6,1,89,0.285185185,0.708333333
6,1,54,0.112037037,0.017592593
6,1,97,0.602777778,0.064814815
6,1,26,0.294444444,0.864814815
6,1,65,0.614814815,9.25926e-4
6,1,16,0.07962963,9.25926e-4
6,1,52,0.113888889,0.019444444
6,1,48,0.193518519,0.397222222
6,1,129,0.960185185,0.538888889
6,1,95,0.015740741,0.525
6,1,15,0.248148148,0.783333333
6,1,56,0.088888889,0.727777778
6,1,118,0.289814815,0.557407407
6,1,113,0.611111111,1
6,1,41,0.665740741,0.728703704
6,1,84,0.238888889,0.090740741
6,1,42,0.247222222,0.912962963
6,1,75,0.14537037,0.684259259
6,1,128,0.696296296,0.263888889
6,1,79,0.214814815,0.134259259
6,1,99,0.626851852,0.653703704
6,1,126,0.367592593,0.039814815
6,1,7,0.237037037,9.25926e-4
6,1,22,9.25926e-4,9.25926e-4
