Obj,Rating,Sub,Block
OBJECTS25,3,307,1
OBJECTS38,4,307,1
OBJECTS49,NA,307,2
OBJECTS3,3,307,1
OBJECTS49,2,307,1
OBJECTS3,4,307,2
OBJECTS26,NA,307,2
OBJECTS26,4,307,1
OBJECTS8,3,307,1
OBJECTS11,2,307,1
OBJECTS23,3,307,1
OBJECTS9,2,307,2
OBJECTS40,3,307,1
OBJECTS24,3,307,1
OBJECTS5,5,307,1
OBJECTS12,4,307,2
OBJECTS31,4,307,1
OBJECTS18,2,307,2
OBJECTS32,NA,307,2
OBJECTS34,2,307,1
OBJECTS21,2,307,2
OBJECTS43,2,307,2
OBJECTS23,NA,307,2
OBJECTS16,NA,307,2
OBJECTS24,3,307,2
OBJECTS8,NA,307,2
OBJECTS42,NA,307,2
OBJECTS37,4,307,1
OBJECTS33,4,307,1
OBJECTS27,3,307,2
OBJECTS45,3,307,1
OBJECTS42,2,307,1
OBJECTS35,NA,307,2
OBJECTS33,4,307,2
OBJECTS12,5,307,1
OBJECTS40,NA,307,2
OBJECTS34,NA,307,2
OBJECTS37,NA,307,2
OBJECTS39,2,307,1
OBJECTS22,1,322,1
OBJECTS8,NA,322,2
OBJECTS26,NA,322,2
OBJECTS6,6,322,2
OBJECTS23,NA,322,2
OBJECTS9,1,322,1
OBJECTS22,NA,322,2
OBJECTS45,4,322,1
OBJECTS5,4,322,1
OBJECTS43,1,322,1
OBJECTS40,5,322,1
